video_id,title,publish_date,year,month,title_length
L7tT0NZF-Ag,Learn Python MATCH-CASE STATEMENTS in 5 minutes! 📆,2024-07-27,2024,7,50
VgnUB_vzR9I,Create Python checkboxes in 5 minutes! ✅,2024-07-27,2024,7,40
9pl55MxZlG4,Create Python buttons in 7 minutes! 🛎️,2024-07-26,2024,7,38
Uvqmv3PGiXM,Python PyQt5 setup a basic GUI Application! 🖥️,2024-07-23,2024,7,46
6DoLxeMlVTI,MongoDB tutorial for beginners 🍃,2024-07-22,2024,7,32
IljPHDyBRog,Learn Python LAMBDA in 6 minutes! 🚮,2024-07-14,2024,7,35
V_NXT2-QIlE,Learn Python EXCEPTION HANDLING in 5 minutes! 🚦,2024-06-29,2024,6,47
TPUdUkFHD5I,Learn Python COMPOSITION in 7 minutes! 🚘,2024-06-19,2024,6,40
HkbQ_NaH0Lc,Learn Python @property in 7 minutes! ⚙️,2024-06-15,2024,6,39
FblABqaKz_U,How to measure EXECUTION TIME in Python ⌚,2024-06-13,2024,6,41
8aW3tkIul-8,Let&#39;s code a beginners Python BANKING PROGRAM 💰,2024-05-30,2024,5,51
8A0E1dSyjFM,if __name__ == &#39;__main__&#39; for Python beginners 📥,2024-05-27,2024,5,56
TYyKQBC4bwE,Learn conditional expressions in 5 minutes! ❓,2024-05-25,2024,5,45
HzyhmZqiaE8,SUPER() in Python explained! 🔴,2024-05-24,2024,5,30
1XE-_s4ZBT8,Learn Python Object Oriented Programming! 🚗,2024-05-20,2024,5,43
JLIF5XHBL3E,Random event generator in C++ 🎁,2024-05-20,2024,5,31
BO6XOcfTyhU,PHPMyAdmin create a table easy,2024-05-20,2024,5,30
HAs7YXPduZI,PHP for loops explained,2024-05-20,2024,5,23
CuOZ8d7gWeU,PHP arrays explained,2024-05-20,2024,5,20
6AzAYU8AOhQ,PHP $_GET and $_POST explained,2024-05-20,2024,5,30
SI69DXbYHXU,PHP tutorial for beginners 🐘,2024-05-20,2024,5,28
przRGJtl0HY,PHP variables and data types,2024-05-20,2024,5,28
FpNfvbNYPsg,React useContext() hook introduction 🧗‍♂️,2024-01-09,2024,1,41
AiQ-V_0qvRI,Build this digital clock with React! 🕒,2024-01-07,2024,1,38
L-1sP3Ljhsg,React useEffect() hook introduction 🌟,2024-01-06,2024,1,37
VaDUGPMjzOM,Create a weather app with JavaScript! ☀️,2023-12-30,2023,12,40
9j1dZwFEJ-c,JavaScript ASYNC/AWAIT is easy! ⏳,2023-12-21,2023,12,33
NOzi4wBHn0o,What are JavaScript PROMISES? 🤞,2023-12-21,2023,12,31
9wiWzu_tRB0,Build this to-do-list app with React! ☝,2023-12-19,2023,12,39
62qN2RcpIAE,Learn the JavaScript classList property easy! 💡,2023-12-16,2023,12,47
q32skvBgxo4,Learn JavaScript KEY EVENTS in 10+ minutes! ⌨,2023-12-14,2023,12,45
WCRi7y6aNrQ,How to ADD/CHANGE HTML using JavaScript 🛠️,2023-12-11,2023,12,42
Y62mbztjmus,React JS update ARRAY of OBJECTS in state 🚘,2023-12-10,2023,12,43
nbAaUpNDhRY,What are React updater functions? 🔄,2023-12-08,2023,12,35
NO5kUNxGIu0,The JavaScript DOM explained in 5 minutes! 🌳,2023-12-05,2023,12,44
Coyy79wRz_s,What is asynchronous JavaScript code? 💤,2023-11-30,2023,11,39
pq_FYp2JSLI,Build a JS compound interest calculator 💰,2023-11-28,2023,11,41
HOMu48bTzz8,Format currency EASY in JavaScript 💲,2023-11-28,2023,11,36
2glfqa-ZbNw,Build this digital clock with JavaScript! 🕐,2023-11-27,2023,11,43
CTHhlx25X-U,Learn JavaScript SORTING in 6 minutes! 🗃,2023-11-22,2023,11,40
b8gwYQ_V4K4,Learn JavaScript NESTED OBJECTS easy! 📫,2023-11-21,2023,11,39
UHZcJyVXtLo,JavaScript DESTRUCTURING in 8 minutes! 💥,2023-11-20,2023,11,40
KQVCAnh6Afk,JavaScript GETTERS &amp; SETTERS are awesome!!! 📐,2023-11-19,2023,11,49
WPmAu26LZKo,JavaScript CONSTRUCTORS in 5 minutes! 🛠,2023-11-16,2023,11,39
HFaxylC7bUc,JavaScript FUNCTIONS are easy! 📞,2023-11-03,2023,11,32
TDUz9QcGPoE,Learn JavaScript WHILE LOOPS in 8 minutes! 🔁,2023-10-30,2023,10,44
sPPGd4Lfh3s,Learn JavaScript STRING SLICING in 8 minutes! ✂️,2023-10-28,2023,10,48
z2fcWdoph4U,Learn JavaScript SWITCHES in 6 minutes! 💡,2023-10-24,2023,10,41
atS_A9HHAVo,JavaScript TERNARY OPERATOR in 6 minutes!  ❓,2023-10-23,2023,10,44
uy-1WNqecnI,Why the Math object in JavaScript is useful 🧮,2023-10-19,2023,10,45
jLRnuVHwHKk,Learn JavaScript TYPE CONVERSION in 5 minutes! 💱,2023-10-18,2023,10,48
JeXqaKeJSRI,How to accept JavaScript USER INPUT in 5 minutes 💬,2023-10-15,2023,10,50
uu0lOX6Ot3s,How to create a CSS image gallery in 5 minutes! 📷,2023-09-21,2023,9,49
k3AJx11k9QY,Learn CSS icons in 8 minutes! 🐤,2023-09-21,2023,9,31
f3uCSh6LIY0,How to create a CSS navigation bar in 6 minutes! 🧭,2023-09-21,2023,9,50
Hsu8uqQTSV8,CSS website layout in 9 minutes! 🗺️,2023-09-21,2023,9,35
QctF-i4-GuM,Learn CSS height and width in 6 minutes! 📏,2023-09-21,2023,9,42
tDqTXipQmBU,Learn HTML buttons in 5 minutes! 🔘,2023-09-21,2023,9,34
WbnCll6vvw4,Learn HTML span &amp; div in 4 minutes! 🏁,2023-09-21,2023,9,41
sm5hTFzSs5Y,Learn HTML images in 6 minutes! 🖼️,2023-09-21,2023,9,34
BAx2GaMW2qA,Learn HTML video in 4 minutes! 🎥,2023-09-21,2023,9,32
2oCN2q1x3c4,HTML tutorial for beginners 🌎,2023-09-21,2023,9,29
c2M-rlkkT5o,Learn MongoDB in 1 hour 🍃,2023-04-14,2023,4,25
5OdVJbNCSso,SQL Full Course for free 🐬,2023-01-02,2023,1,26
7QCHpAtlSMo,Python keyword arguments are awesome! 🗝️,2022-11-30,2022,11,40
89cGQjB5R4M,Functions in Python are easy 📞,2022-11-26,2022,11,30
oagHZwY9JJY,MySQL: STORED PROCEDURES,2022-11-22,2022,11,24
6FwQBS3jV_I,MySQL: ROLLUP,2022-11-20,2022,11,13
x-Ag2_bJ40Y,Code a dice roller program in 10 minutes! 🎲,2022-11-16,2022,11,43
fn68QNcatfo,ROCK PAPER SCISSORS game in Python 🗿,2022-11-14,2022,11,36
piJc18hcH0Y,Generate random numbers in Python 🎲,2022-11-12,2022,11,35
PbkIzW_70EI,Python concession stand program 🍿,2022-11-11,2022,11,33
gOMW_n2-2Mw,"Python lists, sets, and tuples explained 🍍",2022-11-04,2022,11,42
q-kZ8Rq58MY,MySQL LIMIT clause is easy,2022-11-03,2022,11,26
